model,row_index,explained_label,explained_label_id,feature,weight
logistic,17576,unsafe,1,sure,-0.08304150781312102
logistic,17576,unsafe,1,topic,-0.06922109512188879
logistic,17576,unsafe,1,discussing,-0.04121715511126839
logistic,17576,unsafe,1,woman,0.035168212826717705
logistic,17576,unsafe,1,interested,-0.028092044094564634
logistic,17576,unsafe,1,RESPONSE,-0.020654610272373215
logistic,17576,unsafe,1,flesh,0.019784445360121066
logistic,17576,unsafe,1,eat,0.014812247330996864
logistic,33144,unsafe,1,women,-0.036590119266143514
logistic,33144,unsafe,1,cops,0.0363080721089982
logistic,33144,unsafe,1,men,-0.03537639488199355
logistic,33144,unsafe,1,ll,0.03517980642320518
logistic,33144,unsafe,1,strong,-0.023997380157997742
logistic,33144,unsafe,1,make,-0.023929703510986815
logistic,33144,unsafe,1,judge,-0.020287937810652877
logistic,33144,unsafe,1,RESPONSE,-0.01403151572689988
logistic,25250,unsafe,1,value,0.04816287284561039
logistic,25250,unsafe,1,ll,0.03351159961890285
logistic,25250,unsafe,1,feel,0.031019323911260045
logistic,25250,unsafe,1,matter,0.024973925131364937
logistic,25250,unsafe,1,way,0.0225939757355585
logistic,25250,unsafe,1,life,0.021704298078134093
logistic,25250,unsafe,1,small,0.02046796231159667
logistic,25250,unsafe,1,hope,0.014483476503790673
logistic,32313,unsafe,1,judge,-0.08534272544335707
logistic,32313,unsafe,1,based,-0.04744570004448601
logistic,32313,unsafe,1,gossip,-0.0427704066621576
logistic,32313,unsafe,1,won,-0.027212609364256582
logistic,32313,unsafe,1,RESPONSE,-0.022551692911615726
logistic,32313,unsafe,1,Miranda,-0.01690720099144933
logistic,32313,unsafe,1,slut,-0.016775474978354524
logistic,32313,unsafe,1,dating,-0.012094607786253753
logistic,15408,unsafe,1,earth,0.034460248033688586
logistic,15408,unsafe,1,wall,0.02205899848294798
logistic,15408,unsafe,1,Isn,0.020595549556938108
logistic,15408,unsafe,1,sure,-0.020531792630107328
logistic,15408,unsafe,1,certainly,0.020497567331844338
logistic,15408,unsafe,1,ice,0.019948712079037405
logistic,15408,unsafe,1,ve,-0.00960335165172588
logistic,15408,unsafe,1,RESPONSE,-0.005126420096033681
