model,row_index,explained_label,explained_label_id,feature,weight
single_task,17576,unsafe,1,not,-0.10372879120312826
single_task,17576,unsafe,1,I,-0.05611276459188291
single_task,17576,unsafe,1,discussing,-0.05260488854860094
single_task,17576,unsafe,1,m,-0.03709948442283357
single_task,17576,unsafe,1,a,-0.02638159118777452
single_task,33144,unsafe,1,not,-0.034403276211546895
single_task,33144,unsafe,1,don,-0.02786788909594791
single_task,33144,unsafe,1,women,-0.02248863427473352
single_task,33144,unsafe,1,I,-0.020631281543420046
single_task,33144,unsafe,1,cops,-0.014647079411126343
single_task,25250,unsafe,1,I,-0.026106440807047247
single_task,25250,unsafe,1,you,-0.025717028910351398
single_task,25250,unsafe,1,But,0.02317556039217062
single_task,25250,unsafe,1,on,0.018721371972698304
single_task,25250,unsafe,1,vote,0.01755831899885136
single_task,32313,unsafe,1,won,-0.07672096259112532
single_task,32313,unsafe,1,judge,-0.04922555958644173
single_task,32313,unsafe,1,I,-0.04791783592682434
single_task,32313,unsafe,1,t,-0.0414380300915039
single_task,32313,unsafe,1,that,-0.04076650845435955
single_task,15408,unsafe,1,never,-0.05059415149015534
single_task,15408,unsafe,1,I,-0.02916188869145107
single_task,15408,unsafe,1,falling,0.018944206041433764
single_task,15408,unsafe,1,a,-0.017983549803245708
single_task,15408,unsafe,1,earth,0.01579149627198814
