model,row_index,explained_label,explained_label_id,feature,weight
roberta,17576,unsafe,1,not,-0.051561031429396935
roberta,17576,unsafe,1,discussing,-0.032574122720596003
roberta,17576,unsafe,1,I,-0.02337887603210933
roberta,17576,unsafe,1,topic,-0.021179835995112264
roberta,17576,unsafe,1,interested,-0.01855617959190731
roberta,33144,unsafe,1,greatness,-0.01902240355666774
roberta,33144,unsafe,1,cops,0.01862790216476844
roberta,33144,unsafe,1,moving,-0.018540464119936075
roberta,33144,unsafe,1,who,-0.01732812153709139
roberta,33144,unsafe,1,say,0.014261082381915808
roberta,25250,unsafe,1,vote,0.04401119727245789
roberta,25250,unsafe,1,abortion,0.038781477623824466
roberta,25250,unsafe,1,agree,0.028030761975387054
roberta,25250,unsafe,1,say,-0.020953882554637697
roberta,25250,unsafe,1,super,-0.020037927275811038
roberta,32313,unsafe,1,gossip,-0.05639165151886954
roberta,32313,unsafe,1,judge,-0.04529073451150274
roberta,32313,unsafe,1,slut,-0.03832348500623466
roberta,32313,unsafe,1,won,-0.034987871686156156
roberta,32313,unsafe,1,that,-0.031167460664457705
roberta,15408,unsafe,1,ice,0.07679397240651957
roberta,15408,unsafe,1,earth,0.06241664800655813
roberta,15408,unsafe,1,Earth,0.061840922430602456
roberta,15408,unsafe,1,it,0.046235121689568295
roberta,15408,unsafe,1,LAMDA,0.0409845548831962
